Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
49,5R-4L-38R-LMC,32,0+000 - 1+400,"M (0,12; 1,2; 1,0; 1,0)",0,12,1,2,1,0,1,0,5,QC,0+000,686,1097600,32,1.95,0.205,,,10,109760,14.72263,102.19546,
50,5R-4L-38R-LMC,,1+400,"M (0,12; 1,2; 1,0; 1,1)",0,12,1,2,1,0,1,1,5,QC,1+950,,0,,,,,,9,0,,,
51,6R-38R-LMC,33,0+000 - 2+250,"M (0,12; 1,3; 1,0)",0,12,1,3,1,0,,,5,TC,0+000,1185,1896000,33,2.55,0.318,,,6,113760,14.70244,102.19304,
52,6R-38R-LMC,,2+250,"M (0,12; 1,3; 1,1)",0,12,1,3,1,1,,,5,TC,2+550,,0,,,,,,7,0,,,
53,8R-38R-LMC,34,0+000 - 2+500,"M (0,12; 1,4; 1,0)",0,12,1,4,1,0,,,5,TC,0+000,1434,2294400,34,2.5,0.3825,,,5,114720,14.71796,102.19919,
54,8R-38R-LMC,,2+500,"M (0,12; 1,4; 1,1)",0,12,1,4,1,1,,,5,TC,2+500,,0,,,,,,6,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PC -,Primary Canal,,,,,,,Note:,,,,,,,,,,,,,,
,,,,,SC -,Secondary Canal,,,,,,,,,,,,,,,,,,,,,
,,,,,TC - ,Tertiary Canal,,,,,,,,,,,,,,,,,,,,,
,,,,,QC - ,Quarternary Canal,,,,,,,,,,,,,,,,,,,,,
